2025-03-17 22:05:40,376 - INFO - Running conjugate priors for file: 100_200_20_tau_0.5
2025-03-17 22:05:40,377 - INFO - Number of biomarkers: 10
2025-03-17 22:05:47,022 - INFO - Iteration 100/1000, Acceptance Ratio 1: 8.00%, Log Likelihood 1: -2464.4563, Current Accepted Order1: {'AB': 5, 'ADAS': 2, 'AVLT-Sum': 4, 'FUS-FCI': 1, 'FUS-GMI': 6, 'HIP-FCI': 3, 'HIP-GMI': 8, 'MMSE': 10, 'P-Tau': 7, 'PCC-FCI': 9}, Acceptance Ratio 2: 18.00%, Log Likelihood 2: -2279.1444, Current Accepted Order2: {'AB': 2, 'ADAS': 1, 'AVLT-Sum': 4, 'FUS-FCI': 3, 'FUS-GMI': 7, 'HIP-FCI': 6, 'HIP-GMI': 5, 'MMSE': 8, 'P-Tau': 9, 'PCC-FCI': 10}, Subtype Accuracy: 0.665, 
2025-03-17 22:05:53,587 - INFO - Iteration 200/1000, Acceptance Ratio 1: 5.50%, Log Likelihood 1: -2606.0867, Current Accepted Order1: {'AB': 5, 'ADAS': 2, 'AVLT-Sum': 4, 'FUS-FCI': 1, 'FUS-GMI': 6, 'HIP-FCI': 3, 'HIP-GMI': 9, 'MMSE': 10, 'P-Tau': 7, 'PCC-FCI': 8}, Acceptance Ratio 2: 11.00%, Log Likelihood 2: -2119.1813, Current Accepted Order2: {'AB': 2, 'ADAS': 1, 'AVLT-Sum': 3, 'FUS-FCI': 4, 'FUS-GMI': 6, 'HIP-FCI': 7, 'HIP-GMI': 5, 'MMSE': 8, 'P-Tau': 9, 'PCC-FCI': 10}, Subtype Accuracy: 0.74, 
2025-03-17 22:05:59,933 - INFO - Iteration 300/1000, Acceptance Ratio 1: 5.00%, Log Likelihood 1: -2615.2089, Current Accepted Order1: {'AB': 5, 'ADAS': 2, 'AVLT-Sum': 4, 'FUS-FCI': 1, 'FUS-GMI': 6, 'HIP-FCI': 3, 'HIP-GMI': 9, 'MMSE': 10, 'P-Tau': 7, 'PCC-FCI': 8}, Acceptance Ratio 2: 7.67%, Log Likelihood 2: -2106.2348, Current Accepted Order2: {'AB': 2, 'ADAS': 1, 'AVLT-Sum': 3, 'FUS-FCI': 4, 'FUS-GMI': 5, 'HIP-FCI': 7, 'HIP-GMI': 6, 'MMSE': 8, 'P-Tau': 9, 'PCC-FCI': 10}, Subtype Accuracy: 0.705, 
2025-03-17 22:06:06,358 - INFO - Iteration 400/1000, Acceptance Ratio 1: 5.00%, Log Likelihood 1: -2485.8821, Current Accepted Order1: {'AB': 6, 'ADAS': 2, 'AVLT-Sum': 4, 'FUS-FCI': 1, 'FUS-GMI': 8, 'HIP-FCI': 3, 'HIP-GMI': 5, 'MMSE': 10, 'P-Tau': 7, 'PCC-FCI': 9}, Acceptance Ratio 2: 6.00%, Log Likelihood 2: -2257.6823, Current Accepted Order2: {'AB': 2, 'ADAS': 1, 'AVLT-Sum': 3, 'FUS-FCI': 4, 'FUS-GMI': 5, 'HIP-FCI': 6, 'HIP-GMI': 7, 'MMSE': 8, 'P-Tau': 9, 'PCC-FCI': 10}, Subtype Accuracy: 0.695, 
2025-03-17 22:06:12,867 - INFO - Iteration 500/1000, Acceptance Ratio 1: 5.00%, Log Likelihood 1: -2465.6699, Current Accepted Order1: {'AB': 5, 'ADAS': 2, 'AVLT-Sum': 4, 'FUS-FCI': 1, 'FUS-GMI': 8, 'HIP-FCI': 3, 'HIP-GMI': 6, 'MMSE': 10, 'P-Tau': 7, 'PCC-FCI': 9}, Acceptance Ratio 2: 5.00%, Log Likelihood 2: -2273.9592, Current Accepted Order2: {'AB': 2, 'ADAS': 1, 'AVLT-Sum': 4, 'FUS-FCI': 3, 'FUS-GMI': 5, 'HIP-FCI': 6, 'HIP-GMI': 7, 'MMSE': 8, 'P-Tau': 9, 'PCC-FCI': 10}, Subtype Accuracy: 0.725, 
2025-03-17 22:06:19,378 - INFO - Iteration 600/1000, Acceptance Ratio 1: 5.17%, Log Likelihood 1: -2160.2097, Current Accepted Order1: {'AB': 6, 'ADAS': 2, 'AVLT-Sum': 4, 'FUS-FCI': 1, 'FUS-GMI': 7, 'HIP-FCI': 3, 'HIP-GMI': 9, 'MMSE': 10, 'P-Tau': 5, 'PCC-FCI': 8}, Acceptance Ratio 2: 4.33%, Log Likelihood 2: -2550.6551, Current Accepted Order2: {'AB': 2, 'ADAS': 1, 'AVLT-Sum': 3, 'FUS-FCI': 4, 'FUS-GMI': 5, 'HIP-FCI': 6, 'HIP-GMI': 7, 'MMSE': 8, 'P-Tau': 9, 'PCC-FCI': 10}, Subtype Accuracy: 0.735, 
2025-03-17 22:06:25,906 - INFO - Iteration 700/1000, Acceptance Ratio 1: 4.86%, Log Likelihood 1: -2447.7033, Current Accepted Order1: {'AB': 6, 'ADAS': 2, 'AVLT-Sum': 4, 'FUS-FCI': 1, 'FUS-GMI': 7, 'HIP-FCI': 3, 'HIP-GMI': 8, 'MMSE': 10, 'P-Tau': 5, 'PCC-FCI': 9}, Acceptance Ratio 2: 3.71%, Log Likelihood 2: -2274.0974, Current Accepted Order2: {'AB': 2, 'ADAS': 1, 'AVLT-Sum': 3, 'FUS-FCI': 4, 'FUS-GMI': 5, 'HIP-FCI': 6, 'HIP-GMI': 7, 'MMSE': 8, 'P-Tau': 9, 'PCC-FCI': 10}, Subtype Accuracy: 0.74, 
2025-03-17 22:06:32,345 - INFO - Iteration 800/1000, Acceptance Ratio 1: 4.38%, Log Likelihood 1: -2367.5841, Current Accepted Order1: {'AB': 6, 'ADAS': 2, 'AVLT-Sum': 4, 'FUS-FCI': 1, 'FUS-GMI': 7, 'HIP-FCI': 3, 'HIP-GMI': 9, 'MMSE': 10, 'P-Tau': 5, 'PCC-FCI': 8}, Acceptance Ratio 2: 3.25%, Log Likelihood 2: -2370.5928, Current Accepted Order2: {'AB': 2, 'ADAS': 1, 'AVLT-Sum': 3, 'FUS-FCI': 4, 'FUS-GMI': 5, 'HIP-FCI': 6, 'HIP-GMI': 7, 'MMSE': 8, 'P-Tau': 9, 'PCC-FCI': 10}, Subtype Accuracy: 0.725, 
2025-03-17 22:06:38,677 - INFO - Iteration 900/1000, Acceptance Ratio 1: 4.11%, Log Likelihood 1: -2344.2762, Current Accepted Order1: {'AB': 5, 'ADAS': 2, 'AVLT-Sum': 4, 'FUS-FCI': 1, 'FUS-GMI': 7, 'HIP-FCI': 3, 'HIP-GMI': 8, 'MMSE': 10, 'P-Tau': 6, 'PCC-FCI': 9}, Acceptance Ratio 2: 2.89%, Log Likelihood 2: -2384.3842, Current Accepted Order2: {'AB': 2, 'ADAS': 1, 'AVLT-Sum': 3, 'FUS-FCI': 4, 'FUS-GMI': 5, 'HIP-FCI': 6, 'HIP-GMI': 7, 'MMSE': 8, 'P-Tau': 9, 'PCC-FCI': 10}, Subtype Accuracy: 0.72, 
2025-03-17 22:06:45,077 - INFO - Iteration 1000/1000, Acceptance Ratio 1: 4.00%, Log Likelihood 1: -2168.6315, Current Accepted Order1: {'AB': 6, 'ADAS': 2, 'AVLT-Sum': 4, 'FUS-FCI': 1, 'FUS-GMI': 7, 'HIP-FCI': 3, 'HIP-GMI': 8, 'MMSE': 10, 'P-Tau': 5, 'PCC-FCI': 9}, Acceptance Ratio 2: 2.60%, Log Likelihood 2: -2565.8175, Current Accepted Order2: {'AB': 2, 'ADAS': 1, 'AVLT-Sum': 3, 'FUS-FCI': 4, 'FUS-GMI': 5, 'HIP-FCI': 6, 'HIP-GMI': 7, 'MMSE': 8, 'P-Tau': 9, 'PCC-FCI': 10}, Subtype Accuracy: 0.665, 
2025-03-17 22:06:46,041 - INFO - Results saved to conjugate_priors/results/100_200_20_tau_0.5_results.json
