2025-03-17 21:53:09,615 - INFO - Running conjugate priors for file: 250_500_30_tau_-0.5
2025-03-17 21:53:09,618 - INFO - Number of biomarkers: 10
2025-03-17 21:53:25,993 - INFO - Iteration 100/1000, Acceptance Ratio 1: 10.00%, Log Likelihood 1: -5764.1095, Current Accepted Order1: {'AB': 1, 'ADAS': 2, 'AVLT-Sum': 5, 'FUS-FCI': 3, 'FUS-GMI': 6, 'HIP-FCI': 7, 'HIP-GMI': 4, 'MMSE': 8, 'P-Tau': 10, 'PCC-FCI': 9}, Acceptance Ratio 2: 18.00%, Log Likelihood 2: -5967.2315, Current Accepted Order2: {'AB': 8, 'ADAS': 10, 'AVLT-Sum': 7, 'FUS-FCI': 9, 'FUS-GMI': 3, 'HIP-FCI': 6, 'HIP-GMI': 2, 'MMSE': 1, 'P-Tau': 5, 'PCC-FCI': 4}, Subtype Accuracy: 0.926, 
2025-03-17 21:53:42,396 - INFO - Iteration 200/1000, Acceptance Ratio 1: 6.50%, Log Likelihood 1: -5582.4586, Current Accepted Order1: {'AB': 1, 'ADAS': 2, 'AVLT-Sum': 4, 'FUS-FCI': 5, 'FUS-GMI': 6, 'HIP-FCI': 7, 'HIP-GMI': 3, 'MMSE': 8, 'P-Tau': 9, 'PCC-FCI': 10}, Acceptance Ratio 2: 9.50%, Log Likelihood 2: -6067.0077, Current Accepted Order2: {'AB': 8, 'ADAS': 10, 'AVLT-Sum': 6, 'FUS-FCI': 9, 'FUS-GMI': 3, 'HIP-FCI': 7, 'HIP-GMI': 2, 'MMSE': 1, 'P-Tau': 5, 'PCC-FCI': 4}, Subtype Accuracy: 0.924, 
2025-03-17 21:53:58,774 - INFO - Iteration 300/1000, Acceptance Ratio 1: 4.33%, Log Likelihood 1: -5601.2161, Current Accepted Order1: {'AB': 1, 'ADAS': 2, 'AVLT-Sum': 4, 'FUS-FCI': 5, 'FUS-GMI': 6, 'HIP-FCI': 7, 'HIP-GMI': 3, 'MMSE': 8, 'P-Tau': 9, 'PCC-FCI': 10}, Acceptance Ratio 2: 6.33%, Log Likelihood 2: -6049.0174, Current Accepted Order2: {'AB': 8, 'ADAS': 10, 'AVLT-Sum': 6, 'FUS-FCI': 9, 'FUS-GMI': 3, 'HIP-FCI': 7, 'HIP-GMI': 2, 'MMSE': 1, 'P-Tau': 5, 'PCC-FCI': 4}, Subtype Accuracy: 0.934, 
2025-03-17 21:54:15,135 - INFO - Iteration 400/1000, Acceptance Ratio 1: 3.25%, Log Likelihood 1: -5561.7325, Current Accepted Order1: {'AB': 1, 'ADAS': 2, 'AVLT-Sum': 4, 'FUS-FCI': 5, 'FUS-GMI': 6, 'HIP-FCI': 7, 'HIP-GMI': 3, 'MMSE': 8, 'P-Tau': 9, 'PCC-FCI': 10}, Acceptance Ratio 2: 4.75%, Log Likelihood 2: -6078.2177, Current Accepted Order2: {'AB': 8, 'ADAS': 10, 'AVLT-Sum': 6, 'FUS-FCI': 9, 'FUS-GMI': 3, 'HIP-FCI': 7, 'HIP-GMI': 2, 'MMSE': 1, 'P-Tau': 5, 'PCC-FCI': 4}, Subtype Accuracy: 0.928, 
2025-03-17 21:54:31,436 - INFO - Iteration 500/1000, Acceptance Ratio 1: 2.60%, Log Likelihood 1: -5979.8637, Current Accepted Order1: {'AB': 1, 'ADAS': 2, 'AVLT-Sum': 4, 'FUS-FCI': 5, 'FUS-GMI': 6, 'HIP-FCI': 7, 'HIP-GMI': 3, 'MMSE': 8, 'P-Tau': 9, 'PCC-FCI': 10}, Acceptance Ratio 2: 3.80%, Log Likelihood 2: -5653.8392, Current Accepted Order2: {'AB': 8, 'ADAS': 10, 'AVLT-Sum': 6, 'FUS-FCI': 9, 'FUS-GMI': 3, 'HIP-FCI': 7, 'HIP-GMI': 2, 'MMSE': 1, 'P-Tau': 5, 'PCC-FCI': 4}, Subtype Accuracy: 0.92, 
2025-03-17 21:54:47,525 - INFO - Iteration 600/1000, Acceptance Ratio 1: 2.50%, Log Likelihood 1: -5830.5018, Current Accepted Order1: {'AB': 1, 'ADAS': 2, 'AVLT-Sum': 3, 'FUS-FCI': 4, 'FUS-GMI': 6, 'HIP-FCI': 7, 'HIP-GMI': 5, 'MMSE': 8, 'P-Tau': 9, 'PCC-FCI': 10}, Acceptance Ratio 2: 3.17%, Log Likelihood 2: -5813.5284, Current Accepted Order2: {'AB': 8, 'ADAS': 10, 'AVLT-Sum': 6, 'FUS-FCI': 9, 'FUS-GMI': 3, 'HIP-FCI': 7, 'HIP-GMI': 2, 'MMSE': 1, 'P-Tau': 5, 'PCC-FCI': 4}, Subtype Accuracy: 0.928, 
2025-03-17 21:55:04,009 - INFO - Iteration 700/1000, Acceptance Ratio 1: 2.43%, Log Likelihood 1: -5870.4457, Current Accepted Order1: {'AB': 1, 'ADAS': 2, 'AVLT-Sum': 3, 'FUS-FCI': 4, 'FUS-GMI': 6, 'HIP-FCI': 7, 'HIP-GMI': 5, 'MMSE': 8, 'P-Tau': 9, 'PCC-FCI': 10}, Acceptance Ratio 2: 2.71%, Log Likelihood 2: -5769.9258, Current Accepted Order2: {'AB': 8, 'ADAS': 10, 'AVLT-Sum': 6, 'FUS-FCI': 9, 'FUS-GMI': 3, 'HIP-FCI': 7, 'HIP-GMI': 2, 'MMSE': 1, 'P-Tau': 5, 'PCC-FCI': 4}, Subtype Accuracy: 0.94, 
2025-03-17 21:55:20,457 - INFO - Iteration 800/1000, Acceptance Ratio 1: 2.38%, Log Likelihood 1: -5883.1198, Current Accepted Order1: {'AB': 1, 'ADAS': 2, 'AVLT-Sum': 3, 'FUS-FCI': 4, 'FUS-GMI': 5, 'HIP-FCI': 6, 'HIP-GMI': 7, 'MMSE': 8, 'P-Tau': 9, 'PCC-FCI': 10}, Acceptance Ratio 2: 2.38%, Log Likelihood 2: -5732.6410, Current Accepted Order2: {'AB': 8, 'ADAS': 10, 'AVLT-Sum': 6, 'FUS-FCI': 9, 'FUS-GMI': 3, 'HIP-FCI': 7, 'HIP-GMI': 2, 'MMSE': 1, 'P-Tau': 5, 'PCC-FCI': 4}, Subtype Accuracy: 0.926, 
2025-03-17 21:55:36,664 - INFO - Iteration 900/1000, Acceptance Ratio 1: 2.11%, Log Likelihood 1: -5794.8088, Current Accepted Order1: {'AB': 1, 'ADAS': 2, 'AVLT-Sum': 3, 'FUS-FCI': 4, 'FUS-GMI': 5, 'HIP-FCI': 6, 'HIP-GMI': 7, 'MMSE': 8, 'P-Tau': 9, 'PCC-FCI': 10}, Acceptance Ratio 2: 2.11%, Log Likelihood 2: -5821.3717, Current Accepted Order2: {'AB': 8, 'ADAS': 10, 'AVLT-Sum': 6, 'FUS-FCI': 9, 'FUS-GMI': 3, 'HIP-FCI': 7, 'HIP-GMI': 2, 'MMSE': 1, 'P-Tau': 5, 'PCC-FCI': 4}, Subtype Accuracy: 0.924, 
2025-03-17 21:55:52,761 - INFO - Iteration 1000/1000, Acceptance Ratio 1: 1.90%, Log Likelihood 1: -5803.2884, Current Accepted Order1: {'AB': 1, 'ADAS': 2, 'AVLT-Sum': 3, 'FUS-FCI': 4, 'FUS-GMI': 5, 'HIP-FCI': 6, 'HIP-GMI': 7, 'MMSE': 8, 'P-Tau': 9, 'PCC-FCI': 10}, Acceptance Ratio 2: 1.90%, Log Likelihood 2: -5818.8289, Current Accepted Order2: {'AB': 8, 'ADAS': 10, 'AVLT-Sum': 6, 'FUS-FCI': 9, 'FUS-GMI': 3, 'HIP-FCI': 7, 'HIP-GMI': 2, 'MMSE': 1, 'P-Tau': 5, 'PCC-FCI': 4}, Subtype Accuracy: 0.94, 
2025-03-17 21:55:53,722 - INFO - Results saved to conjugate_priors/results/250_500_30_tau_-0.5_results.json
